matchup,matchup_short,season,season_type,season_slug,game_id,game_uid,game_date,attendance,status_name,broadcast_market,broadcast_name,tournament_id,start_date,home_team_name,home_team_logo,home_team_abb,home_team_id,home_team_location,home_team_full_name,home_team_color,home_score,home_win,home_record,away_team_name,away_team_logo,away_team_abb,away_team_id,away_team_location,away_team_full_name,away_team_color,away_score,away_win,away_record
Charlotte 49ers at Milwaukee Panthers,CHAR @ MILW,2023,3,post-season,401526966,s:40~l:41~e:401526966~c:401526966,2023-03-20T22:47Z,764,STATUS_FINAL,NA,NA,11,2023-03-20T22:47Z,Panthers,https://a.espncdn.com/i/teamlogos/ncaa/500/270.png,MILW,270,Milwaukee,Milwaukee Panthers,000000,65,0,22-12,49ers,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,CHAR,2429,Charlotte,Charlotte 49ers,ffffff,76,1,20-14
Southern Utah Thunderbirds at Eastern Kentucky Colonels,SUU @ EKU,2023,3,post-season,401526969,s:40~l:41~e:401526969~c:401526969,2023-03-21T23:00Z,0,STATUS_FINAL,national,ESPN2,11,2023-03-21T23:00Z,Colonels,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,EKU,2198,Eastern Kentucky,Eastern Kentucky Colonels,660819,108,1,23-13,Thunderbirds,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,SUU,253,Southern Utah,Southern Utah Thunderbirds,c72026,106,0,24-13
Charlotte 49ers at Radford Highlanders,CHAR @ RAD,2023,3,post-season,401526970,s:40~l:41~e:401526970~c:401526970,2023-03-22T01:57Z,962,STATUS_FINAL,national,ESPN2,11,2023-03-22T01:57Z,Highlanders,https://a.espncdn.com/i/teamlogos/ncaa/500/2515.png,RAD,2515,Radford,Radford Highlanders,BC1515,56,0,21-15,49ers,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,CHAR,2429,Charlotte,Charlotte 49ers,ffffff,63,1,21-14
Charlotte 49ers at Eastern Kentucky Colonels,CHAR @ EKU,2023,3,post-season,401526973,s:40~l:41~e:401526973~c:401526973,2023-03-22T21:00Z,771,STATUS_FINAL,national,ESPN2,11,2023-03-22T21:00Z,Colonels,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,EKU,2198,Eastern Kentucky,Eastern Kentucky Colonels,660819,68,0,23-14,49ers,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,CHAR,2429,Charlotte,Charlotte 49ers,ffffff,71,1,22-14
Southeast Missouri State Redhawks at Texas A&M-Corpus Christi Islanders,SEMO @ AMCC,2023,3,post-season,401522117,s:40~l:41~e:401522117~c:401522117,2023-03-14T22:40Z,0,STATUS_FINAL,national,truTV,22,2023-03-14T22:40Z,Islanders,https://a.espncdn.com/i/teamlogos/ncaa/500/357.png,AMCC,357,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi Islanders,00639c,75,1,24-10,Redhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2546.png,SEMO,2546,Southeast Missouri State,Southeast Missouri State Redhawks,cc0000,71,0,19-17
Pittsburgh Panthers at Mississippi State Bulldogs,PITT @ MSST,2023,3,post-season,401522116,s:40~l:41~e:401522116~c:401522116,2023-03-15T01:34Z,12453,STATUS_FINAL,national,truTV,22,2023-03-15T01:34Z,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,MSST,344,Mississippi State,Mississippi State Bulldogs,762123,59,0,21-13,Panthers,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,PITT,221,Pittsburgh,Pittsburgh Panthers,003263,60,1,23-11
Fairleigh Dickinson Knights at Texas Southern Tigers,FDU @ TXSO,2023,3,post-season,401522118,s:40~l:41~e:401522118~c:401522118,2023-03-15T22:40Z,0,STATUS_FINAL,national,truTV,22,2023-03-15T22:40Z,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,TXSO,2640,Texas Southern,Texas Southern Tigers,6A0403,61,0,14-21,Knights,https://a.espncdn.com/i/teamlogos/ncaa/500/161.png,FDU,161,Fairleigh Dickinson,Fairleigh Dickinson Knights,28334a,84,1,20-15
Nevada Wolf Pack at Arizona State Sun Devils,NEV @ ASU,2023,3,post-season,401522119,s:40~l:41~e:401522119~c:401522119,2023-03-16T01:10Z,12431,STATUS_FINAL,national,truTV,22,2023-03-16T01:10Z,Sun Devils,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,ASU,9,Arizona State,Arizona State Sun Devils,942139,98,1,23-12,Wolf Pack,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,NEV,2440,Nevada,Nevada Wolf Pack,153E5F,73,0,22-11
Texas A&M-Corpus Christi Islanders at Alabama Crimson Tide,AMCC @ ALA,2023,3,post-season,401522123,s:40~l:41~e:401522123~c:401522123,2023-03-16T19:15Z,15126,STATUS_FINAL,national,CBS,22,2023-03-16T19:15Z,Crimson Tide,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,ALA,333,Alabama,Alabama Crimson Tide,9e1632,96,1,30-5,Islanders,https://a.espncdn.com/i/teamlogos/ncaa/500/357.png,AMCC,357,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi Islanders,00639c,75,0,24-11
Northern Kentucky Norse at Houston Cougars,NKU @ HOU,2023,3,post-season,401522121,s:40~l:41~e:401522121~c:401522121,2023-03-17T01:39Z,15154,STATUS_FINAL,national,TNT,22,2023-03-17T01:39Z,Cougars,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,HOU,248,Houston,Houston Cougars,c92a39,63,1,32-3,Norse,https://a.espncdn.com/i/teamlogos/ncaa/500/94.png,NKU,94,Northern Kentucky,Northern Kentucky Norse,ffc82e,52,0,22-13
Howard Bison at Kansas Jayhawks,HOW @ KU,2023,3,post-season,401522125,s:40~l:41~e:401522125~c:401522125,2023-03-16T18:00Z,0,STATUS_FINAL,national,TBS,22,2023-03-16T18:00Z,Jayhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,KU,2305,Kansas,Kansas Jayhawks,0051ba,96,1,28-7,Bison,https://a.espncdn.com/i/teamlogos/ncaa/500/47.png,HOW,47,Howard,Howard Bison,003a63,68,0,22-13
Colgate Raiders at Texas Longhorns,COLG @ TEX,2023,3,post-season,401522124,s:40~l:41~e:401522124~c:401522124,2023-03-16T23:50Z,0,STATUS_FINAL,national,TBS,22,2023-03-16T23:50Z,Longhorns,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,TEX,251,Texas,Texas Longhorns,c15d26,81,1,27-8,Raiders,https://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,COLG,2142,Colgate,Colgate Raiders,8B011D,61,0,26-9
UNC Asheville Bulldogs at UCLA Bruins,UNCA @ UCLA,2023,3,post-season,401522132,s:40~l:41~e:401522132~c:401522132,2023-03-17T02:11Z,14527,STATUS_FINAL,national,truTV,22,2023-03-17T02:11Z,Bruins,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,UCLA,26,UCLA,UCLA Bruins,2774ae,86,1,30-5,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2427.png,UNCA,2427,UNC Asheville,UNC Asheville Bulldogs,003da5,53,0,27-8
